filename,ground_truth,pred_NEAREST,conf_NEAREST,correct_NEAREST,pred_LINEAR,conf_LINEAR,correct_LINEAR,pred_CUBIC,conf_CUBIC,correct_CUBIC,pred_LANCZOS4,conf_LANCZOS4,correct_LANCZOS4
fer0028638.png,Neutral,Sadness,0.649125,0,Neutral,0.722959,1,Neutral,0.789712,1,Neutral,0.819307,1
fer0028639.png,Contempt,Sadness,0.652400,0,Neutral,0.482668,0,Neutral,0.513522,0,Neutral,0.524963,0
fer0028640.png,Neutral,Neutral,0.907487,1,Neutral,0.656510,1,Neutral,0.701476,1,Neutral,0.726360,1
fer0028641.png,Neutral,Neutral,0.846380,1,Neutral,0.966064,1,Neutral,0.950892,1,Neutral,0.967721,1
fer0028642.png,Happiness,Happiness,0.997488,1,Happiness,0.995248,1,Happiness,0.996030,1,Happiness,0.996169,1
fer0028643.png,Happiness,Happiness,0.926206,1,Happiness,0.832734,1,Happiness,0.784331,1,Happiness,0.824690,1
fer0028644.png,Sadness,Fear,0.614509,0,Sadness,0.724971,1,Sadness,0.762387,1,Sadness,0.852294,1
fer0028645.png,Neutral,Neutral,0.704953,1,Neutral,0.620464,1,Neutral,0.806193,1,Neutral,0.860305,1
fer0028646.png,Neutral,Neutral,0.634410,1,Neutral,0.565282,1,Neutral,0.827126,1,Neutral,0.874640,1
fer0028647.png,Neutral,Sadness,0.682470,0,Neutral,0.685523,1,Neutral,0.669095,1,Neutral,0.622943,1
fer0028648.png,Happiness,Happiness,0.720891,1,Happiness,0.858266,1,Happiness,0.726658,1,Happiness,0.753116,1
fer0028649.png,Anger,Anger,0.980531,1,Anger,0.965134,1,Anger,0.972007,1,Anger,0.956005,1
fer0028650.png,Neutral,Neutral,0.949586,1,Neutral,0.527482,1,Neutral,0.681574,1,Neutral,0.747353,1
fer0028651.png,Fear,Fear,0.983353,1,Fear,0.950484,1,Fear,0.973525,1,Fear,0.966910,1
fer0028652.png,Neutral,Neutral,0.710359,1,Neutral,0.950415,1,Neutral,0.981830,1,Neutral,0.980994,1
fer0028653.png,Surprise,Surprise,0.580585,1,Surprise,0.822914,1,Surprise,0.881475,1,Surprise,0.852302,1
fer0028654.png,Surprise,Surprise,0.977905,1,Surprise,0.983251,1,Surprise,0.977679,1,Surprise,0.978836,1
fer0028655.png,Neutral,Sadness,0.344561,0,Neutral,0.419011,1,Surprise,0.423453,0,Neutral,0.507851,1
fer0028656.png,Surprise,Surprise,0.893157,1,Surprise,0.991706,1,Surprise,0.983229,1,Surprise,0.974480,1
fer0028657.png,Happiness,Happiness,0.515303,1,Happiness,0.658693,1,Happiness,0.670648,1,Happiness,0.671488,1
fer0028658.png,Surprise,Neutral,0.739239,0,Neutral,0.894394,0,Neutral,0.628472,0,Neutral,0.551404,0
fer0028659.png,Surprise,Surprise,0.950951,1,Surprise,0.959332,1,Surprise,0.972046,1,Surprise,0.968332,1
fer0028660.png,Neutral,Neutral,0.754461,1,Neutral,0.927710,1,Neutral,0.798428,1,Neutral,0.801741,1
fer0028661.png,Sadness,Sadness,0.863442,1,Sadness,0.755189,1,Sadness,0.820281,1,Sadness,0.799305,1
