filename,ground_truth,pred_standard,conf_standard,correct_standard,pred_dynamic,conf_dynamic,correct_dynamic
fer0028638.png,Neutral,Neutral,0.629595,1,Neutral,0.789712,1
fer0028639.png,Contempt,Neutral,0.326459,0,Neutral,0.513522,0
fer0028640.png,Neutral,Neutral,0.434040,1,Neutral,0.701476,1
fer0028641.png,Neutral,Sadness,0.399443,0,Neutral,0.950892,1
fer0028642.png,Happiness,Happiness,0.982511,1,Happiness,0.996030,1
fer0028643.png,Happiness,Happiness,0.525951,1,Happiness,0.784331,1
fer0028644.png,Sadness,Sadness,0.540161,1,Sadness,0.762387,1
fer0028645.png,Neutral,Neutral,0.733371,1,Neutral,0.806193,1
fer0028646.png,Neutral,Neutral,0.322518,1,Neutral,0.827126,1
fer0028647.png,Neutral,Neutral,0.486890,1,Neutral,0.669095,1
fer0028648.png,Happiness,Happiness,0.880787,1,Happiness,0.726658,1
fer0028649.png,Anger,Anger,0.464217,1,Anger,0.972007,1
fer0028650.png,Neutral,Neutral,0.747998,1,Neutral,0.681574,1
fer0028651.png,Fear,Fear,0.878886,1,Fear,0.973525,1
fer0028652.png,Neutral,Neutral,0.866318,1,Neutral,0.981830,1
fer0028653.png,Surprise,Surprise,0.537871,1,Surprise,0.881475,1
fer0028654.png,Surprise,Surprise,0.789717,1,Surprise,0.977679,1
fer0028655.png,Neutral,Surprise,0.728393,0,Surprise,0.423453,0
fer0028656.png,Surprise,Surprise,0.815165,1,Surprise,0.983229,1
fer0028657.png,Happiness,Happiness,0.663743,1,Happiness,0.670648,1
fer0028658.png,Surprise,Surprise,0.519509,1,Neutral,0.628472,0
fer0028659.png,Surprise,Surprise,0.875578,1,Surprise,0.972046,1
fer0028660.png,Neutral,Neutral,0.730961,1,Neutral,0.798428,1
fer0028661.png,Sadness,Sadness,0.531152,1,Sadness,0.820281,1
fer0028662.png,Sadness,Neutral,0.546051,0,Anger,0.337015,0
fer0028663.png,Neutral,Neutral,0.821957,1,Neutral,0.976037,1
fer0028664.png,Neutral,Neutral,0.601682,1,Sadness,0.679099,0
fer0028665.png,Neutral,Neutral,0.393026,1,Neutral,0.712411,1
fer0028666.png,Surprise,Anger,0.595146,0,Surprise,0.706887,1
fer0028667.png,Surprise,Surprise,0.803281,1,Surprise,0.792885,1
fer0028668.png,Happiness,Happiness,0.804892,1,Happiness,0.950680,1
fer0028669.png,Neutral,Neutral,0.637184,1,Neutral,0.744711,1
fer0028670.png,Happiness,Happiness,0.748654,1,Happiness,0.738846,1
fer0028671.png,Neutral,Neutral,0.936872,1,Neutral,0.975880,1
fer0028672.png,Neutral,Neutral,0.634948,1,Neutral,0.792768,1
fer0028673.png,Sadness,Neutral,0.652999,0,Neutral,0.748718,0
fer0028674.png,Neutral,Neutral,0.749466,1,Neutral,0.979444,1
fer0028675.png,Contempt,Surprise,0.389568,0,Fear,0.805429,0
fer0028676.png,Neutral,Neutral,0.585815,1,Neutral,0.990522,1
fer0028677.png,Happiness,Happiness,0.714239,1,Happiness,0.599764,1
fer0028678.png,Anger,Anger,0.740809,1,Anger,0.998770,1
fer0028679.png,Sadness,Sadness,0.357716,1,Sadness,0.866475,1
fer0028680.png,Anger,Neutral,0.559504,0,Neutral,0.537940,0
fer0028681.png,Neutral,Neutral,0.394137,1,Neutral,0.873822,1
fer0028682.png,Neutral,Neutral,0.361697,1,Sadness,0.748858,0
fer0028683.png,Happiness,Happiness,0.534004,1,Happiness,0.995363,1
fer0028684.png,Surprise,Surprise,0.735861,1,Surprise,0.844268,1
fer0028685.png,Happiness,Happiness,0.606415,1,Happiness,0.961218,1
fer0028686.png,Surprise,Surprise,0.755571,1,Surprise,0.975863,1
fer0028687.png,Neutral,Neutral,0.836530,1,Neutral,0.955584,1
fer0028688.png,Neutral,Neutral,0.880104,1,Neutral,0.931616,1
fer0028689.png,Happiness,Happiness,0.575814,1,Happiness,0.942801,1
fer0028690.png,Surprise,Surprise,0.852274,1,Surprise,0.969607,1
fer0028691.png,Neutral,Surprise,0.451686,0,Sadness,0.683941,0
fer0028692.png,Neutral,Sadness,0.473716,0,Sadness,0.823984,0
fer0028693.png,Happiness,Happiness,0.688392,1,Happiness,0.990364,1
fer0028694.png,Fear,Fear,0.990684,1,Fear,0.946965,1
fer0028695.png,Neutral,Sadness,0.525184,0,Neutral,0.663355,1
fer0028696.png,Surprise,Surprise,0.743444,1,Surprise,0.991210,1
fer0028697.png,Happiness,Happiness,0.922073,1,Happiness,0.915551,1
fer0028698.png,Neutral,Neutral,0.924127,1,Neutral,0.943562,1
fer0028699.png,Happiness,Happiness,0.761336,1,Happiness,0.789090,1
fer0028700.png,Neutral,Neutral,0.672905,1,Neutral,0.791374,1
fer0028701.png,Surprise,Surprise,0.642628,1,Surprise,0.918631,1
fer0028702.png,Surprise,Surprise,0.883101,1,Surprise,0.988681,1
fer0028703.png,Happiness,Happiness,0.972135,1,Happiness,0.989442,1
fer0028704.png,Surprise,Surprise,0.390088,1,Surprise,0.732382,1
fer0028705.png,Neutral,Neutral,0.681032,1,Neutral,0.882164,1
fer0028706.png,Fear,Anger,0.241495,0,Sadness,0.805606,0
fer0028707.png,Neutral,Neutral,0.444431,1,Neutral,0.358340,1
fer0028708.png,Neutral,Neutral,0.862799,1,Neutral,0.780806,1
fer0028709.png,Surprise,Surprise,0.821298,1,Surprise,0.948604,1
fer0028710.png,Neutral,Neutral,0.838033,1,Neutral,0.857292,1
fer0028711.png,Happiness,Happiness,0.606590,1,Happiness,0.953164,1
fer0028712.png,Surprise,Happiness,0.633428,0,Happiness,0.944768,0
fer0028713.png,Neutral,Neutral,0.778674,1,Neutral,0.931439,1
fer0028714.png,Surprise,Surprise,0.850748,1,Surprise,0.980210,1
